|0|1
0|Telefon mobil Samsung Galaxy A25, Dual SIM, 6GB RAM, 128GB, 5G, Blue Black|
1|970,00 Lei|
2|Telefon mobil Nokia 106, Dual SIM, Negru|
3|60,00 Lei|
4|Telefon mobil Samsung Galaxy A35, Dual SIM, 8GB, 256GB, 5G, Awesome Navy|
5|1.449,99 Lei|
6|Telefon mobil Samsung Galaxy A55, Dual SIM, 8GB, 256GB, 5G, Awesome Navy|
7|1.889,99 Lei|
8|Telefon mobil Samsung Galaxy A55, Dual SIM, 8GB, 256GB, 5G, Awesome Iceblue|
9|1.957,16 Lei|
10|Telefon mobil Samsung Galaxy A25, Dual SIM, 8GB RAM, 256GB, 5G, Blue Black|
11|1.199,99 Lei|
12|Telefon mobil Samsung Galaxy A15, Dual SIM, 4GB RAM, 128GB, 5G, Blue Black|
13|714,99 Lei|
14|Telefon mobil Samsung Galaxy S24, Dual SIM, 8GB RAM, 256GB, 5G, Onyx Black|
15|3.699,99 Lei|
16|Telefon mobil Apple iPhone 15, 128GB, 5G, Black|
17|4.049,99 Lei|
18|Telefon mobil Apple iPhone 15, 128GB, 5G, Pink|
19|4.049,99 Lei|
20|Telefon mobil Xiaomi Redmi 13C, 8GB RAM, 256GB, Midnight Black|
21|619,99 Lei|
22|Telefon mobil Samsung Galaxy S24 Ultra, Dual SIM, 12GB RAM, 512GB, 5G, Titanium Black|
23|5.899,99 Lei|
24|Telefon mobil pentru seniori, dual SIM, color, taste mari, meniu in limba Romana, buton SOS, Bluetooth, lanterna, radio, negru|
25|220,00 Lei|
26|Telefon mobil Nokia 2660 Flip, Dual SIM, 4G, Black|
27|263,98 Lei|
28|Telefon mobil Samsung Galaxy A55, Dual SIM, 8GB, 128GB, 5G, Awesome Iceblue|
29|1.599,99 Lei|
30|Telefon mobil Samsung Galaxy S23, Dual SIM, 8GB RAM, 128GB, 5G, Phantom Black|
31|3.078,51 Lei|
32|Telefon mobil Apple iPhone 13, 128GB, 5G, Midnight|
33|2.949,99 Lei|
34|Telefon mobil Samsung Galaxy A05s, Dual SIM, 4GB RAM, 128GB, 4G, Black|
35|655,96 Lei|
36|Telefon mobil Samsung Galaxy S24, Dual SIM, 8GB RAM, 256GB, 5G, Marble Gray|
37|3.699,99 Lei|
38|Telefon mobil Samsung Galaxy A55, Dual SIM, 8GB, 128GB, 5G, Awesome Lilac|
39|1.710,55 Lei|
40|Telefon mobil Samsung Galaxy A05s, Dual SIM, 4GB RAM, 64GB, 4G, Light Green|
41|519,99 Lei|
42|Telefon mobil Samsung Galaxy A55, Dual SIM, 8GB, 128GB, 5G, Awesome Navy|
43|1.679,36 Lei|
44|Telefon mobil Apple iPhone 15 Pro, 128GB, 5G, Blue Titanium|
45|5.170,72 Lei|
46|Telefon mobil Apple iPhone 14, 128GB, 5G, Midnight|
47|3.499,99 Lei|
48|Telefon mobil pentru seniori, Artfone, dual SIM, Butoane mari, meniu in limba romana, buton SOS, Bluetooth, lanterna, radio, negru|
49|104,72 Lei|
50|Telefon mobil Apple iPhone 13, 128GB, 5G, Pink|
51|2.999,99 Lei|
52|Telefon mobil Apple iPhone 13, 128GB, 5G, Starlight|
53|2.949,99 Lei|
54|Telefon mobil Samsung Galaxy A55, Dual SIM, 8GB, 256GB, 5G, Awesome Lilac|
